시설번호,시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,설치연도,출수압력,관할기관명,관할기관전화번호,데이터기준일자,제공기관코드,제공기관명
세화4호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 세화로 168,제주특별자치도 서귀포시 표선면 세화리 1652-3,33.3188495423,126.7901576441,세화3리사무소 앞,표선119안전센터,Y,2010,1.8,동부소방서,064-780-9182,2024-02-07,1661000,소방청
세화3호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 일주동로 6264,제주특별자치도 서귀포시 표선면 세화리 1505-1,33.3070851855,126.8023726602,세화2리 어촌계 복지회관 앞,표선119안전센터,Y,2010,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
세화2호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 일주동로 6216,제주특별자치도 서귀포시 표선면 129-6,33.3075671869,126.8076523785,일주도로 세화1리 입구 삼거리 서측,표선119안전센터,Y,2010,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
세화1호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 세성로 333번길 45,제주특별자치도 서귀포시 표선면1829-1,33.32970511,126.7952935923,세화1리사무소 남서측 100m,표선119안전센터,Y,1996,2.2,동부소방서,064-780-9182,2024-02-07,1661000,소방청
하천8호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 번영로 3428번길 16,제주특별자치도 서귀포시 표선면 하천리 1092,33.3432750923,126.8252340567,번영로 달산봉교차로 서남측,표선119안전센터,Y,2016,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
하천7호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 일주동로 5691,제주특별자치도 서귀포시 표선면 하천리 134-1,33.3373258797,126.842835069,하천리 SK LPG표선충전소 맞은편 인도,표선119안전센터,Y,2010,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
하천6호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 한마음초등로 399,제주특별자치도 서귀포시 표선면 하천리 1832-1,33.3545660283,126.813866043,표선생활체육관 앞,표선119안전센터,Y,2008,4.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
하천5호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 한마음초등로 507,제주특별자치도 서귀포시 표선면 가시리 945,33.3535868355,126.8253270129,번영로 하천교차로 동북측 갓길,표선119안전센터,Y,2003,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
하천4호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 하천로 74번길,제주특별자치도 서귀포시 표선면 하천리 499-1,33.3476342053,126.8402484722,하천 중동삼거리,표선119안전센터,Y,1998,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
하천3호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 하천로 105,제주특별자치도 서귀포시 표선면 하천리 598-4,33.3500048874,126.8393704027,하천상동 문화상회 맞은편,표선119안전센터,Y,1994,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
하천2호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 일주동로 5642,제주특별자치도 서귀포시 표선면 하천리 4-1,33.3414113,126.8454796414,,표선119안전센터,Y,2012,2.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
하천1호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 하천로99번길 53,제주특별자치도 서귀포시 표선면 하천리 725-1,33.3525906987,126.8387765898,상동동민회관에서 중동방향 50m,표선119안전센터,Y,2010,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선27호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선리 1860-3,제주특별자치도 서귀포시 표선면 표선리 1860-3,33.3373593543,126.82790601,표선리 1860-3 인근 도로상,표선119안전센터,Y,2020,6.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선26호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 돈오름로 136,제주특별자치도 서귀포시 표선면 표선리 2782,33.33165847,126.8122754907,표선리 2782 인근 도로상,표선119안전센터,Y,2020,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선25호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선동서로 193번길 23,제주특별자치도 서귀포시 표선면 표선리 1541-9,33.3220829828,126.8280803983,반석아파트 가동 앞,표선119안전센터,Y,2019,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선24호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선동서로 287,제주특별자치도 서귀포시 표선면 표선리 463-1,33.3288781385,126.83522477,표선동서로 287 건물 앞 인도상,표선119안전센터,Y,2019,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선23호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선중앙로 74,제주특별자치도 서귀포시 표선면 표선리 705,33.32667473,126.8310104497,표선면사무소 구정문 입구,표선119안전센터,Y,1997,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선22호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선중앙로 117번길 5,제주특별자치도 서귀포시 표선면 표선리 858-2,33.3261529042,126.8359260801,비치파크 모텔 동측,표선119안전센터,Y,2016,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선21호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선동서로 105,제주특별자치도 서귀포시 표선면 표선리 1408-2,33.3142856688,126.8265708013,주소지 맞은편 도로변,표선119안전센터,Y,2015,2.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선20호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선백사로 59,제주특별자치도 서귀포시 표선면 표선리 966-16,33.3217074323,126.8330891501,표선무지개 마을 입구 비석 옆,표선119안전센터,Y,2014,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선19호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 민속해안로 292,제주특별자치도 서귀포시 표선면 표선리 1311-6,33.3076604936,126.8295056049,해양수산연구원 맞은편 도로,표선119안전센터,Y,2012,2.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선18호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선당포로 14,제주특별자치도 서귀포시 표선면 표선리 45-17,33.3257153982,126.8443047629,당케포구 강해일 횟집 맞은편,표선119안전센터,Y,2011,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선17호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 가시로 16,제주특별자치도 서귀포시 표선면 표선리 2033,33.3304769699,126.8214406352,표선농협농자재유통센터 앞,표선119안전센터,Y,2007,6.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선16호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 민속해안로 593,제주특별자치도 서귀포시 표선면 표선리 40-71,33.3250009688,126.8421777802,표선면 공영주차장 앞,표선119안전센터,Y,2019,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선15호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 일주동로 6175,제주특별자치도 서귀포시 표선면 표선리 2925-4,33.3086628029,126.8116249893,한지동 삼거리 입구 비석 뒤,표선119안전센터,Y,1997,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선14호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선관정로 79,제주특별자치도 서귀포시 표선면 표선리 732,33.32547411,126.8293897367,CU 맞은편,표선119안전센터,Y,2003,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선13호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선백사로 103번길 19-1,제주특별자치도 서귀포시 표선면 표선리 801-4,33.3238625841,126.8344959467,해든빌 맞은편 건물 외벽,표선119안전센터,Y,2002,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선12호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선동서로 139,제주특별자치도 서귀포시 표선면 표선리 1461-1,33.3169735119,126.8281896582,남촌풀하우스 펜션 앞,표선119안전센터,Y,2000,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선11호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선중앙로 17,제주특별자치도 서귀포시 표선면 표선리 312,33.3311299451,126.8302633186,표선보건지소 앞,표선119안전센터,Y,1994,1.7,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선10호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선중앙로 96,제주특별자치도 서귀포시 표선면 표선리 634-1,33.3256599291,126.8341195435,더쉐프 가게 앞,표선119안전센터,Y,1998,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선9호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선동서로 193번길 43,제주특별자치도 서귀포시 표선면 표선리 1591-1,33.3235281576,126.827462165,뮤직앤아트 건물 맞은편,표선119안전센터,Y,1997,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선8호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선동서로 195,제주특별자치도 서귀포시 표선면 표선리 1007-2,33.32164612,126.8303240792,오일장 입구 서측 섭지향 앞,표선119안전센터,Y,1993,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선7호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선동서로 245,제주특별자치도 서귀포시 표선면 표선리 694-4,33.32583015,126.8323830501,표선우체국 앞,표선119안전센터,Y,1993,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선6호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선관정로 39-16,제주특별자치도 서귀포시 표선면 표선리 40-6,33.3271672192,126.827721998,제주민속촌 입구 삼거리 동측,표선119안전센터,Y,1993,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선5호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선중앙로 64,제주특별자치도 서귀포시 표선면 표선리 553-2,33.3272390227,126.8314323,고수목마 식당 북측,표선119안전센터,Y,1993,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선4호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선동서로 315,제주특별자치도 서귀포시 표선면 표선리 420-7,33.3308757592,126.8371159,표선 올림픽꽃동산 북측,표선119안전센터,Y,1980,2.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선3호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선관정로 39-16,제주특별자치도 서귀포시 표선면 표선리 1682-3,33.32719511,126.8277111,표선119센터 내,표선119안전센터,Y,1994,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선2호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선동서로 263,제주특별자치도 서귀포시 표선면 표선리 591-1,33.32719111,126.8336148778,리시온호텔 앞,표선119안전센터,Y,1980,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
표선1호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 표선동서로 217,제주특별자치도 서귀포시 표선면 표선리 777-8,33.3234770839,126.8313357,표선파출소 앞,표선119안전센터,Y,1980,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
가시 9호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 가시로 421번길 1,제주특별자치도 서귀포시 표선면 가시리 987-2,33.3466243961,126.7835771,가시리 역지동 버스정류소 맞은편,성읍119지역대,Y,2009,5.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
가시 8호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 가시로 539,제주특별자치도 서귀포시 표선면 가시리 2094-1,33.3519554623,126.7748441,가시리 체육공원 맞은편,성읍119지역대,Y,2007,5.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
가시 7호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 녹산로 5번길 120,제주특별자치도 서귀포시 표선면 가시리 2981-5,33.35853111,126.7556592707,가시리 안좌동 마을 입구,성읍119지역대,Y,2007,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
가시 6호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 원님로 657,제주특별자치도 서귀포시 표선면 가시리 2787-5,33.3549866826,126.7618097836,가시리 두리동~안좌동 사거리,성읍119지역대,Y,2006,5.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
가시 5호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 녹산로 14,제주특별자치도 서귀포시 표선면 가시리 987-2,33.3466243961,126.7835810656,가시리 역지동 버스정류소 옆,성읍119지역대,Y,2001,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
가시 4호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 원님로 652번길 36-2,제주특별자치도 서귀포시 표선면 가시리 2818-1,33.3516019115,126.7631351,가시리 두리동 신성작목반 옆 삼거리,성읍119지역대,Y,1998,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
가시 3호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 가시로 660,제주특별자치도 서귀포시 표선면 가시리 1686-3,33.36171211,126.7700612976,가시리1686-3,성읍119지역대,Y,2020,4.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
가시 2호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 가시로 565번길 3,제주특별자치도 서귀포시 표선면 가시리 1981-1,33.3537529479,126.7734457602,가시리 입구 삼거리,성읍119지역대,Y,1995,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
가시 1호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 중산간동로 5227,제주특별자치도 서귀포시 표선면 가시리 2009-1,33.3524233298,126.7719218121,표선농협가시지소 앞,성읍119지역대,Y,2018,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 급수탑,3,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍이리로 58번길 10-5,제주특별자치도 서귀포시 표선면 성읍리 2906,33.4134114264,126.7715778253,성읍2리사무소 북측사거리,성읍119지역대,N,2006,2.9,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 25호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 번영로 2570,제주특별자치도 서귀포시 표선면 성읍리 2425-1,33.4036435881,126.7803086234,성읍리 포니밸리 입구 교차로,성읍119지역대,Y,2017,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 24호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 중산간동로 4821,제주특별자치도 서귀포시 표선면 성읍리 1332-2,33.376821946,126.7906109796,성읍리 해경수련원 앞,성읍119지역대,Y,2012,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 23호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 서성일로 27번길 16-14,제주특별자치도 서귀포시 표선면 성읍리 1643-11,33.3953806737,126.7990027199,성읍리2차문화마을내,성읍119지역대,Y,2012,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 22호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 서성일로 27번갈 16-38,제주특별자치도 서귀포시 표선면 성읍리 1631-2,33.3945314754,126.7996936604,성읍리2차문화마을내,성읍119지역대,Y,2012,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 21호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 서성일로 27번길 16-24,제주특별자치도 서귀포시 표선면 성읍리 1643-4,33.3952889571,126.7977128719,성읍리2차문화마을내,성읍119지역대,Y,2012,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 20호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍정의현로 136번길 9-7,제주특별자치도 서귀포시 표선면 성읍리 1633-10,33.394187837,126.7975625781,성읍리2차문화마을내,성읍119지역대,Y,2012,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 19호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 서성일로 27번길 13,제주특별자치도 서귀포시 표선면 성읍리 1641-4,33.3941302067,126.7994959475,성읍리2차문화마을내,성읍119지역대,Y,2012,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 18호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 서성일로 27번길 24,제주특별자치도 서귀포시 표선면 성읍리 1641-7,33.3945484018,126.7983981991,성읍리2차문화마을내,성읍119지역대,Y,2012,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 17호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍정의현로 122번길 15,제주특별자치도 서귀포시 표선면 성읍리 1639-1,33.3937789988,126.7991442026,성읍리2차문화마을내,성읍119지역대,Y,2012,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 16호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍정의현로 122번길 11,제주특별자치도 서귀포시 표선면 성읍리 1639-6,33.393374976,126.7991950048,성읍리2차문화마을내,성읍119지역대,Y,2012,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 15호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍정의현로 136번길 5,제주특별자치도 서귀포시 표선면 성읍리 1633-6,33.3937917444,126.7978171,성읍리2차문화마을내,성읍119지역대,Y,2012,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 14호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍정의현로 122번길 7-8,제주특별자치도 서귀포시 표선면 성읍리 1639-3,33.39351611,126.7987447858,성읍리2차문화마을내,성읍119지역대,Y,2012,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 13호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍정의현로 122번길 1-8,제주특별자치도 서귀포시 표선면 성읍리 1635-5,33.39302911,126.7987175926,성읍리2차문화마을내,성읍119지역대,Y,2012,3.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 12호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍서문로 75,제주특별자치도 서귀포시 표선면 성읍리 1382,33.3832867473,126.7945007035,성읍119지역대 내,성읍119지역대,Y,2004,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 11호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍이리로 58번길 12,제주특별자치도 서귀포시 표선면 성읍리 2906-2,33.4131296102,126.7715611,성읍2리 사무소 가기 전 삼거리,성읍119지역대,Y,2000,5.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 10호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍이리로 59,제주특별자치도 서귀포시 표선면 성읍리 2898-1,33.41317811,126.7729568149,성읍2리 (구)리사무소 앞 오거리,성읍119지역대,N,1996,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 9호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 서성일로 10번길 24-2,제주특별자치도 서귀포시 표선면 성읍리 3305-46,33.3921220284,126.8028581,성읍1리 문화마을 8블럭 우측 도로변,성읍119지역대,Y,1995,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 8호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 서성일로 10번길 14-2,제주특별자치도 서귀포시 표선면 성읍리 3305-34,33.3922496647,126.8019781,성읍1리 문화마을 7블럭 우측 도로변,성읍119지역대,Y,1995,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 7호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 서성일로 8,제주특별자치도 서귀포시 표선면 성읍리 3305-21,33.3925309808,126.8008611,성읍1리 문화마을 6블럭 우측 도로변(신협지소 옆),성읍119지역대,Y,1995,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 6호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍정의현로 35,제주특별자치도 서귀포시 표선면 성읍리 852,33.38560311,126.8012971005,성읍1리 남문 입구,성읍119지역대,Y,1995,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 5호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍정의현로 70,제주특별자치도 서귀포시 표선면 성읍리 578-3,33.3887815627,126.8014179144,성읍리 초가장(강서방) 앞 (관람초가),성읍119지역대,Y,1994,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 4호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍서문로 8,제주특별자치도 서귀포시 표선면 성읍리 823-1,33.38672111,126.8004871,성읍1리 정의향교 앞,성읍119지역대,Y,1994,4.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 3호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍정의현로 33,제주특별자치도 서귀포시 표선면 성읍리 676-1,33.3899385684,126.8006610934,성읍1리 성읍농협 앞 사거리(성읍정의현로 83),성읍119지역대,Y,1994,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 2호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍서문로 27,제주특별자치도 서귀포시 표선면 성읍리 765-2,33.3858766372,126.7986754047,성읍1리 흑돼지 식당 옆,성읍119지역대,Y,2010,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
성읍 1호,1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 정의현로 34번길 24-15,제주특별자치도 서귀포시 표선면 성읍리 887-1,33.38761711,126.8024141016,성읍1리 객사화장실 뒤,성읍119지역대,Y,1994,3.5,동부소방서,064-780-9182,2024-02-07,1661000,소방청
월정3호,1,제주특별자치도,제주시,50110,제주특별자치도 제주시 월정3길 53-3,제주특별자치도 제주시 구좌읍 월정리 569-1,33.5559620382,126.7946973054,월정리 복지회관 옆,김녕119지역대,N,2022,5.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
월정2호,1,제주특별자치도,제주시,50110,,제주특별자치도 제주시 구좌읍 월정리 214-6,33.5517211166,126.7908498251,월정리 정류소 옆,김녕119지역대,N,1990,6.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
월정1호,1,제주특별자치도,제주시,50110,,제주특별자치도 제주시 구좌읍 월정리 432,33.5557475221,126.7923434316,입수동 사거리,김녕119지역대,Y,1990,2.0,동부소방서,064-780-9182,2024-02-07,1661000,소방청
